/** TRANSLATION TABLE. DO NOT EDIT **/
<DAT_BLOCK>
//View
View,android:accessibilityLiveRegion,setAccessibilityLiveRegion(int),0x00000013
View,android:accessibilityTraversalAfter,setAccessibilityTraversalAfter(int),0x00000016
View,android:accessibilityTraversalBefore,setAccessibilityTraversalBefore(int),0x00000016
View,android:alpha,setAlpha(float),0x0000000b
View,android:background,setBackgroundDrawable(Drawable),
View,android:background,setBackgroundColor(int),
View,android:backgroundTint,setBackgroundTintList(ColorStateList),0x00000015
View,android:backgroundTintMode,setBackgroundTintMode(Mode),0x00000015
View,android:clickable,setClickable(boolean),
View,android:contentDescription,setContentDescription(CharSequence),0x00000004
View,android:contextClickable,setContextClickable(boolean),0x00000017
View,android:drawingCacheQuality,setDrawingCacheQuality(int),
View,android:duplicateParentState,setDuplicateParentStateEnabled(boolean),
View,android:elevation,setElevation(float),0x00000015
View,android:fadeScrollbars,setScrollbarFadingEnabled(boolean),0x00000005
View,android:fadingEdgeLength,getVerticalFadingEdgeLength,
View,android:filterTouchesWhenObscured,setFilterTouchesWhenObscured(boolean),0x00000009
View,android:fitsSystemWindows,setFitsSystemWindows(boolean),0x0000000e
View,android:focusable,setFocusable(boolean),
View,android:focusableInTouchMode,setFocusableInTouchMode(boolean),
View,android:forceHasOverlappingRendering,forceHasOverlappingRendering(boolean),0x00000018
View,android:foreground,setForeground(Drawable),
View,android:foregroundGravity,setForegroundGravity(int),0x00000017
View,android:foregroundTint,setForegroundTintList(ColorStateList),0x00000015
View,android:foregroundTintMode,setForegroundTintMode(Mode),0x00000015
View,android:hapticFeedbackEnabled,setHapticFeedbackEnabled(boolean),0x00000003
View,android:id,setId(int),
View,android:importantForAccessibility,setImportantForAccessibility(int),0x00000010
View,android:isScrollContainer,setScrollContainer(boolean),0x00000003
View,android:keepScreenOn,setKeepScreenOn(boolean),
View,android:layerType,setLayerType(int,Paint),0x0000000b
View,android:layoutDirection,setLayoutDirection(int),0x00000011
View,android:longClickable,setLongClickable(boolean),
View,android:minHeight,setMinimumHeight(int),
View,android:minWidth,setMinimumWidth(int),
View,android:nextFocusDown,setNextFocusDownId(int),
View,android:nextFocusForward,setNextFocusForwardId(int),0x0000000b
View,android:nextFocusLeft,setNextFocusLeftId(int),
View,android:nextFocusRight,setNextFocusRightId(int),
View,android:nextFocusUp,setNextFocusUpId(int),
View,android:onClick,,
View,android:padding,setPaddingRelative(int,int,int,int),0x00000011
View,android:paddingBottom,setPaddingRelative(int,int,int,int),0x00000011
View,android:paddingBottom,setPadding(int,int,int,int),0x00004000
View,android:paddingEnd,setPaddingRelative(int,int,int,int),0x00000011
View,android:paddingLeft,setPadding(int,int,int,int),
View,android:paddingRight,setPadding(int,int,int,int),
View,android:paddingStart,setPaddingRelative(int,int,int,int),0x00000011
View,android:paddingTop,setPaddingRelative(int,int,int,int),0x00000011
View,android:paddingTop,setPadding(int,int,int,int),0x00002000
View,android:requiresFadingEdge,setVerticalFadingEdgeEnabled(boolean),
View,android:rotation,setRotation(float),0x0000000b
View,android:rotationX,setRotationX(float),0x0000000b
View,android:rotationY,setRotationY(float),0x0000000b
View,android:saveEnabled,setSaveEnabled(boolean),
View,android:scaleX,setScaleX(float),0x0000000b
View,android:scaleY,setScaleY(float),0x0000000b
View,android:scrollIndicators,setScrollIndicators(int),0x00000017
View,android:scrollX,,
View,android:scrollY,,
View,android:scrollbarAlwaysDrawHorizontalTrack,,
View,android:scrollbarAlwaysDrawVerticalTrack,,
View,android:scrollbarDefaultDelayBeforeFade,setScrollBarDefaultDelayBeforeFade(int),0x00000010
View,android:scrollbarFadeDuration,setScrollBarFadeDuration(int),0x00000010
View,android:scrollbarSize,setScrollBarSize(int),0x00000010
View,android:scrollbarStyle,setScrollBarStyle(int),
View,android:scrollbarThumbHorizontal,,
View,android:scrollbarThumbVertical,,
View,android:scrollbarTrackHorizontal,,
View,android:scrollbarTrackVertical,,
View,android:scrollbars,,
View,android:soundEffectsEnabled,setSoundEffectsEnabled(boolean),
View,android:stateListAnimator,,
View,android:tag,,
View,android:textAlignment,setTextAlignment(int),0x00000011
View,android:textDirection,setTextDirection(int),0x00000011
View,android:theme,,
View,android:transformPivotX,setPivotX(float),0x0000000b
View,android:transformPivotY,setPivotY(float),0x0000000b
View,android:transitionName,,
View,android:translationX,setTranslationX(float),0x0000000b
View,android:translationY,setTranslationY(float),0x0000000b
View,android:translationZ,setTranslationZ(float),0x00000015
View,android:visibility,setVisibility(int),
View,android:enabled,setEnabled(boolean),
View,android:layout_width,width(int),0x00410000
View,android:layout_height,height(int),0x00410000
View,android:layout_weight,weight(float),0x00410000
View,android:layout_gravity,gravity(int),0x00410000
View,android:layout_marginTop,topMargin(int),0x00410000
View,android:layout_marginBottom,bottomMargin(int),0x00410000
View,android:layout_marginLeft,leftMargin(int),0x00410000
View,android:layout_marginRight,rightMargin(int),0x00410000
View,android:layout_marginStart,setMarginStart(int),0x00010000
View,android:layout_marginEnd,setMarginEnd(int),0x00010000
View,android:layout_margin,setMargins(int,int,int,int),0x0001f000
